VC,PIR,Run,Avg_IP_Throughput_flits_cycle_IP,Global_Avg_Delay_cycles,Total_Energy_J
4,0.007,2,0.0771467,448.739,0.000332995
4,0.007,3,0.0785812,407.08,0.000332956
4,0.007,4,0.078625,428.101,0.000333063
4,0.007,5,0.0776714,378.083,0.000332766
4,0.007,6,0.0787344,503.329,0.000333228
4,0.007,7,0.0786827,387.441,0.00033303
4,0.007,8,0.0776059,403.233,0.000333049
4,0.007,9,0.0789657,396.385,0.000332924
4,0.007,10,0.0791228,537.135,0.000333162
4,0.008,1,0.0807457,755.812,0.000333477
4,0.008,2,0.0790773,836.27,0.000333428
4,0.008,3,0.0773776,977.855,0.000333188
4,0.008,4,0.0792812,838.989,0.000333321
4,0.008,5,0.0796541,875.754,0.000333284
4,0.008,6,0.0781832,906.516,0.000333452
4,0.008,7,0.078826,812.313,0.000333373
4,0.008,8,0.0781515,905.496,0.000333225
4,0.008,9,0.0783377,857.096,0.00033305
4,0.008,10,0.0784679,957.445,0.00033332
4,0.009,1,0.0812131,1161.66,0.00033369
4,0.009,2,0.0787183,1281.99,0.000333592
4,0.009,3,0.0784405,1346.09,0.000333464
4,0.009,4,0.0802878,1296.01,0.000333379
4,0.009,5,0.078174,1286.43,0.000333476
4,0.009,6,0.0790399,1257.75,0.000333685
4,0.009,7,0.0772543,1266.74,0.000333543
4,0.009,8,0.0797613,1263.44,0.00033356
4,0.009,9,0.0787509,1250.07,0.000333551
4,0.009,10,0.0790082,1301.56,0.000333595
4,0.01,1,0.0790434,1594.31,0.000333544
4,0.01,2,0.0783733,1604.07,0.000333682
4,0.01,3,0.0794666,1624.52,0.000333789
4,0.01,4,0.0788607,1694.27,0.000333485
4,0.01,5,0.0788585,1611.02,0.000333876
4,0.01,6,0.0792695,1557.23,0.000333788
4,0.01,7,0.077977,1541.01,0.000333456
4,0.01,8,0.0788919,1600.24,0.000333517
4,0.01,9,0.0811393,1659.08,0.000333798
4,0.01,10,0.0791493,1648.06,0.000333693
8,0.001,1,0.0114336,27.0903,0.000621344
8,0.001,2,0.0114227,27.1187,0.000621409
8,0.001,3,0.0118633,26.7264,0.000621364
8,0.001,4,0.0121133,27.4649,0.000621504
8,0.001,5,0.0123585,26.6748,0.000621591
8,0.001,6,0.0120551,26.8704,0.000621599
8,0.001,7,0.0117543,27.1269,0.000621324
8,0.001,8,0.0120039,26.4941,0.000621491
8,0.001,9,0.0119523,25.8672,0.000621171
8,0.001,10,0.0124735,27.3742,0.000621499
8,0.002,1,0.0238628,30.8377,0.00062457
8,0.002,2,0.0237374,31.2775,0.000624739
8,0.002,3,0.0240443,30.8389,0.000624512
8,0.002,4,0.0244527,31.0021,0.000624854
8,0.002,5,0.023658,31.1122,0.000624576
8,0.002,6,0.0241011,30.6085,0.000624496
8,0.002,7,0.0236545,30.4685,0.000624423
8,0.002,8,0.0240404,30.6466,0.00062465
8,0.002,9,0.0240074,30.5102,0.000624872
8,0.002,10,0.0242543,31.3431,0.000624807
8,0.003,1,0.0357743,36.7504,0.000627888
8,0.003,2,0.0355191,37.1944,0.000627737
8,0.003,3,0.0356181,37.5019,0.000627899
8,0.003,4,0.0361458,37.538,0.00062774
8,0.003,5,0.0359579,37.6543,0.000628128
8,0.003,6,0.0360868,36.9736,0.00062805
8,0.003,7,0.0353186,36.6302,0.000627816
8,0.003,8,0.0357387,36.7251,0.000628004
8,0.003,9,0.0361085,37.4968,0.000627896
8,0.003,10,0.0365356,37.7225,0.000627812
8,0.004,1,0.0484371,49.0274,0.000631689
8,0.004,2,0.0475126,48.5039,0.000631153
8,0.004,3,0.0479067,46.8875,0.00063119
8,0.004,4,0.0473264,45.5247,0.000630642
8,0.004,5,0.0475651,48.4449,0.000631272
8,0.004,6,0.0483563,50.1989,0.000631387
8,0.004,7,0.0469701,47.2381,0.000631038
8,0.004,8,0.0477622,48.5513,0.000631285
8,0.004,9,0.0470755,45.4974,0.000630777
8,0.004,10,0.0477023,47.3851,0.000631176
8,0.005,1,0.0603168,73.7021,0.000634342
8,0.005,2,0.0598242,70.4262,0.000634412
8,0.005,3,0.0601398,68.6693,0.000634446
8,0.005,4,0.0598559,66.7242,0.000634003
8,0.005,5,0.0595043,67.1686,0.000633986
8,0.005,6,0.0605035,69.0125,0.000634489
8,0.005,7,0.0593333,73.0883,0.000634537
8,0.005,8,0.0596866,72.2565,0.000634482
8,0.005,9,0.0599531,71.7188,0.000634338
8,0.005,10,0.0598793,69.7525,0.000634425
8,0.006,1,0.0716367,127.545,0.000637234
