VC,PIR,Run,Avg_IP_Throughput_flits_cycle_IP,Global_Avg_Delay_cycles,Total_Energy_J
12,0.001,1,0.0120191,41.9424,0.000928457
12,0.001,2,0.0116506,42.8515,0.000928442
12,0.001,3,0.011842,42.5872,0.000928516
12,0.001,4,0.0121241,42.5148,0.000928614
12,0.001,5,0.0124484,42.3478,0.000928705
12,0.001,6,0.0118203,42.9029,0.000928293
12,0.001,7,0.0118698,43.1299,0.000928399
12,0.001,8,0.0118138,42.809,0.000928617
12,0.001,9,0.0120985,42.3231,0.000928413
12,0.001,10,0.0126732,43.2931,0.000928722
12,0.002,1,0.0242274,58.8321,0.000933067
12,0.002,2,0.0235451,56.9139,0.000932682
12,0.002,3,0.0244922,62.9658,0.000932683
12,0.002,4,0.0236753,56.5888,0.000932393
12,0.002,5,0.0240412,56.9898,0.000932703
12,0.002,6,0.0240243,58.2883,0.000932707
12,0.002,7,0.023967,56.6658,0.000932692
12,0.002,8,0.0240642,56.7517,0.000932672
12,0.002,9,0.0241541,58.7725,0.000932838
12,0.002,10,0.0242674,59.5026,0.000932935
12,0.003,1,0.0327812,307.01,0.000936519
12,0.003,2,0.0322452,268.833,0.000936219
12,0.003,3,0.0337522,243.118,0.000936893
12,0.003,4,0.0327457,310.759,0.000936588
12,0.003,5,0.03249,331.683,0.000936413
12,0.003,6,0.0335907,297.288,0.00093637
12,0.003,7,0.0329939,276.033,0.000936591
12,0.003,8,0.0332452,293.52,0.00093656
12,0.003,9,0.0331719,373.447,0.000936663
12,0.003,10,0.0326862,376.672,0.00093653
12,0.004,1,0.0353394,764.739,0.000937836
12,0.004,2,0.0358507,701.543,0.000938101
12,0.004,3,0.0364714,762.633,0.000938088
12,0.004,4,0.0351324,721.446,0.000937587
12,0.004,5,0.0359757,740.931,0.000937878
12,0.004,6,0.034553,859.102,0.000937865
12,0.004,7,0.0355247,736.695,0.00093832
12,0.004,8,0.0347695,836.532,0.000937823
12,0.004,9,0.0356424,829.939,0.00093793
12,0.004,10,0.036964,748.278,0.000938596
12,0.005,1,0.0372101,1157.12,0.000938794
12,0.005,2,0.0364371,1281.66,0.000938368
12,0.005,3,0.0350464,1279.9,0.000938307
12,0.005,4,0.0364084,1252.59,0.00093836
12,0.005,5,0.0355022,1271.17,0.000938535
12,0.005,6,0.0363073,1151.75,0.000938747
12,0.005,7,0.0371523,1129.15,0.000939029
12,0.005,8,0.0354366,1251.13,0.000938552
12,0.005,9,0.0346502,1267.02,0.000937616
12,0.005,10,0.0349362,1274.41,0.000938049
12,0.006,1,0.0367786,1790.09,0.000939129
12,0.006,2,0.0355799,1552.26,0.000938739
12,0.006,3,0.0367257,1542.07,0.000938899
12,0.006,4,0.0377587,1389.64,0.00093887
12,0.006,5,0.0369588,1595.6,0.000939022
12,0.006,6,0.036648,1593.08,0.000938585
12,0.006,7,0.0377018,1506.1,0.000939219
12,0.006,8,0.0369644,1535.9,0.000939167
12,0.006,9,0.0361771,1568.98,0.000938824
12,0.006,10,0.037201,1597.07,0.000938863
12,0.007,1,0.038102,1786.38,0.000939472
12,0.007,2,0.040161,1848.32,0.000940092
12,0.007,3,0.0376701,1785.16,0.000939265
12,0.007,4,0.0378194,1825.17,0.000939246
12,0.007,5,0.0370317,1798.1,0.000939051
12,0.007,6,0.0364805,1894.19,0.000938753
12,0.007,7,0.0372066,1847.4,0.000939023
12,0.007,8,0.03652,1858.62,0.000938845
12,0.007,9,0.0371089,1920.64,0.000939006
12,0.007,10,0.0370386,1906.84,0.000939174
12,0.008,1,0.036964,2226.63,0.000938896
12,0.008,2,0.0390078,2142.43,0.000939479
12,0.008,3,0.0385503,2206.35,0.00093969
12,0.008,4,0.0381497,2278.97,0.000939397
12,0.008,5,0.0367222,2239.61,0.000938911
12,0.008,6,0.0391194,2141.09,0.000940041
12,0.008,7,0.0389193,2026.25,0.000939766
12,0.008,8,0.0389961,2033.53,0.000939814
12,0.008,9,0.0376194,2148.33,0.000939238
12,0.008,10,0.0364683,2286.42,0.000938751
12,0.009,1,0.0401415,2270.38,0.00094011
12,0.009,2,0.037316,2351.98,0.000939151
12,0.009,3,0.0376549,2351.68,0.000939187
12,0.009,4,0.0361693,2467.37,0.000938536
12,0.009,5,0.0382426,2293.46,0.000939409
12,0.009,6,0.0389549,2304.58,0.000939751
12,0.009,7,0.0380582,2355.92,0.000939571
12,0.009,8,0.0389926,2369.97,0.000939545
12,0.009,9,0.0377448,2327.43,0.000939629
12,0.009,10,0.0390247,2430.67,0.000939671
12,0.01,1,0.0374622,2564.87,0.000939286
12,0.01,2,0.0405981,2669.93,0.000940243
12,0.01,3,0.0395599,2516.79,0.000939912
12,0.01,4,0.0385043,2513.5,0.000939749
12,0.01,5,0.039273,2545.48,0.000939943
12,0.01,6,0.039566,2612.18,0.000939944
12,0.01,7,0.0376957,2725.95,0.000939261
12,0.01,8,0.0393759,2557.31,0.000939769
12,0.01,9,0.0394878,2443.38,0.000940008
12,0.01,10,0.0393225,2472.43,0.000939819
16,0.001,1,0.0116376,43.0296,0.00123448
16,0.001,2,0.0114266,42.7542,0.0012343
16,0.001,3,0.0117457,42.8801,0.00123439
16,0.001,4,0.0122053,43.1104,0.00123466
16,0.001,5,0.0122986,43.0533,0.00123468
16,0.001,6,0.0116549,43.4185,0.00123434
16,0.001,7,0.0119592,43.0323,0.00123443
16,0.001,8,0.0117643,43.0473,0.00123464
16,0.001,9,0.0121046,43.0937,0.00123445
16,0.001,10,0.0125443,42.9763,0.00123473
16,0.002,1,0.0240825,57.7182,0.00123887
16,0.002,2,0.0237062,53.6184,0.00123866
16,0.002,3,0.0245794,62.9267,0.00123896
16,0.002,4,0.0237166,55.9767,0.00123849
16,0.002,5,0.023806,59.6978,0.0012388
16,0.002,6,0.0238485,55.8968,0.00123873
16,0.002,7,0.0240933,63.0565,0.00123883
16,0.002,8,0.023849,58.5765,0.00123868
16,0.002,9,0.0242539,57.8662,0.0012388
16,0.002,10,0.0239193,57.4731,0.00123869
16,0.003,1,0.0326849,337.483,0.00124271
16,0.003,2,0.0331441,269.857,0.0012425
16,0.003,3,0.0325295,344.991,0.00124264
16,0.003,4,0.0314852,329.904,0.0012422
16,0.003,5,0.0338251,263.306,0.00124266
16,0.003,6,0.0322878,370.61,0.00124247
16,0.003,7,0.0319384,345.41,0.0012423
16,0.003,8,0.0324271,305.698,0.0012426
16,0.003,9,0.0319171,347.558,0.00124206
16,0.003,10,0.0325959,337.177,0.00124247
16,0.004,1,0.0341328,797.281,0.00124356
16,0.004,2,0.036533,646.315,0.0012444
16,0.004,3,0.0349965,741.824,0.00124396
16,0.004,4,0.0351037,714.23,0.00124415
16,0.004,5,0.0367344,646.485,0.00124413
16,0.004,6,0.0360929,734.968,0.00124415
16,0.004,7,0.034201,759.881,0.0012436
16,0.004,8,0.034602,792.007,0.00124413
16,0.004,9,0.0356406,653.604,0.00124437
16,0.004,10,0.0352253,717.809,0.00124418
16,0.005,1,0.0387287,1042.71,0.00124538
16,0.005,2,0.0394488,1013.89,0.00124567
16,0.005,3,0.0369345,1101.97,0.00124512
16,0.005,4,0.0364978,1126.95,0.00124478
16,0.005,5,0.0337865,1185.68,0.00124368
16,0.005,6,0.035924,1263.06,0.00124449
16,0.005,7,0.0359245,1006.74,0.00124453
16,0.005,8,0.0365291,1239.58,0.00124489
16,0.005,9,0.0356536,1105.32,0.00124422
16,0.005,10,0.0368333,1160.98,0.00124487
16,0.006,1,0.0384466,1392.29,0.00124558
16,0.006,2,0.037997,1428.66,0.0012455
16,0.006,3,0.0371354,1554.9,0.00124529
16,0.006,4,0.0372296,1374.65,0.00124517
16,0.006,5,0.0393733,1410.58,0.001246
16,0.006,6,0.039895,1275.91,0.00124636
16,0.006,7,0.0375373,1427.18,0.00124526
16,0.006,8,0.0367648,1413.04,0.00124493
16,0.006,9,0.0387917,1387.18,0.00124574
16,0.006,10,0.0396146,1411.49,0.00124629
16,0.007,1,0.0387439,1779.28,0.00124588
16,0.007,2,0.0365052,1746.13,0.00124468
16,0.007,3,0.0386419,1909.18,0.00124596
16,0.007,4,0.0391858,1842.24,0.00124598
16,0.007,5,0.0366385,1830.43,0.00124484
16,0.007,6,0.037967,1744.1,0.00124545
16,0.007,7,0.0392313,1652.96,0.00124638
16,0.007,8,0.0404957,1681.35,0.00124651
16,0.007,9,0.0408529,1814.61,0.00124668
16,0.007,10,0.0376966,1844.17,0.00124521
16,0.008,1,0.0398793,1946.78,0.00124659
16,0.008,2,0.0388077,1977.8,0.00124573
16,0.008,3,0.0379796,1978.07,0.00124566
16,0.008,4,0.038773,2053.41,0.00124575
16,0.008,5,0.0394727,1945.49,0.00124605
16,0.008,6,0.0376094,2059.64,0.00124552
16,0.008,7,0.0390477,2044.75,0.00124576
16,0.008,8,0.0391441,2076.41,0.00124602
16,0.008,9,0.0386984,1916.58,0.0012456
16,0.008,10,0.0387934,2065.65,0.00124606
16,0.009,1,0.0406441,2279.67,0.00124674
16,0.009,2,0.0386081,2210.04,0.00124544
16,0.009,3,0.0384696,2176.83,0.00124555
16,0.009,4,0.0400512,2240.93,0.00124667
16,0.009,5,0.0393338,2316.22,0.0012463
16,0.009,6,0.0388433,2343.77,0.00124579
16,0.009,7,0.0386541,2220.27,0.00124587
16,0.009,8,0.0387982,2338.72,0.00124598
16,0.009,9,0.0395421,2210.95,0.00124601
16,0.009,10,0.0386662,2310.78,0.00124551
16,0.01,1,0.0399714,2464.46,0.00124617
16,0.01,2,0.0397756,2504.81,0.00124646
16,0.01,3,0.0396007,2468.76,0.00124611
16,0.01,4,0.0412895,2499.97,0.00124661
16,0.01,5,0.0418134,2429.38,0.001247
16,0.01,6,0.0398563,2440.22,0.00124636
16,0.01,7,0.0398819,2433.93,0.00124614
16,0.01,8,0.0404444,2271.58,0.00124669
16,0.01,9,0.0395022,2424.8,0.00124633
16,0.01,10,0.0403147,2490.61,0.00124641
