VC,PIR,Run,Avg_IP_Throughput_flits_cycle_IP,Network_Throughput_flits_cycle,Global_Avg_Delay_cycles,Max_Delay_cycles
16,0.01,7,0.0790295,20.2316,1457.43,7162
16,0.01,8,0.0799293,20.4619,1445.15,7877
16,0.01,9,0.0800326,20.4883,1442.87,8142
16,0.01,10,0.0782118,20.0222,1499.71,7726
16,0.02,1,0.0776276,19.8727,3387.53,8926
16,0.02,2,0.0781385,20.0034,3316.91,9032
16,0.02,3,0.0798281,20.436,3396.2,9055
16,0.02,4,0.0808754,20.7041,3217.42,9019
16,0.02,5,0.0796367,20.387,3368.12,8817
16,0.02,6,0.0785751,20.1152,3315.62,8963
16,0.02,7,0.0792661,20.2921,3307.82,8878
16,0.02,8,0.0807865,20.6813,3247.45,8553
16,0.02,9,0.0800343,20.4888,3279.94,8746
16,0.02,10,0.0792656,20.292,3280.46,9312
16,0.03,1,0.0778229,19.9227,3966.75,9215
16,0.03,2,0.078862,20.1887,3920.77,9370
16,0.03,3,0.0825295,21.1276,3981.47,9169
16,0.03,4,0.0809696,20.7282,3972.86,9418
16,0.03,5,0.0804336,20.591,4060.03,9519
16,0.03,6,0.0797357,20.4123,4002.36,9076
16,0.03,7,0.0807244,20.6654,3995.53,8996
16,0.03,8,0.0807882,20.6818,4006.72,9041
16,0.03,9,0.079763,20.4193,4033.28,9402
16,0.03,10,0.0793451,20.3123,4023.71,9131
16,0.04,1,0.080523,20.6139,4322.65,9478
16,0.04,2,0.0814792,20.8587,4337.92,9449
16,0.04,3,0.07727,19.7811,4353.5,9622
16,0.04,4,0.0797005,20.4033,4383.78,9427
16,0.04,5,0.079776,20.4227,4419.16,9174
16,0.04,6,0.081464,20.8548,4361.16,9192
16,0.04,7,0.0777322,19.8994,4293.05,9385
16,0.04,8,0.0797174,20.4077,4356.24,9266
16,0.04,9,0.0803741,20.5758,4408.18,9348
16,0.04,10,0.079622,20.3832,4426.89,9320
16,0.05,1,0.0804019,20.5829,4591.33,9373
16,0.05,2,0.0801701,20.5236,4531.12,9307
16,0.05,3,0.0827613,21.1869,4583.11,9543
16,0.05,4,0.0802148,20.535,4583.42,9604
16,0.05,5,0.0808459,20.6966,4648.81,9559
16,0.05,6,0.0803963,20.5814,4630.14,9497
16,0.05,7,0.0805113,20.6109,4493.56,9691
16,0.05,8,0.080987,20.7327,4594.25,9341
16,0.05,9,0.0799848,20.4761,4584.74,9414
16,0.05,10,0.0797222,20.4089,4483.16,9530
16,0.06,1,0.0782461,20.031,4658,9416
16,0.06,2,0.0805582,20.6229,4769.74,9568
16,0.06,3,0.0798355,20.4379,4676.92,9544
16,0.06,4,0.0797964,20.4279,4729.99,9571
16,0.06,5,0.0808876,20.7072,4696.07,9505
16,0.06,6,0.0809566,20.7249,4725.62,9531
16,0.06,7,0.0795521,20.3653,4709.48,9663
16,0.06,8,0.078832,20.181,4713.7,9636
16,0.06,9,0.0792834,20.2966,4684.01,9557
16,0.06,10,0.0802899,20.5542,4703.85,9554
16,0.07,1,0.0790095,20.2264,4803.16,9731
16,0.07,2,0.0795308,20.3599,4851.84,9602
16,0.07,3,0.0800425,20.4909,4767.03,9694
16,0.07,4,0.0819926,20.9901,4855.95,9647
16,0.07,5,0.0798056,20.4302,4862.72,9585
16,0.07,6,0.0796719,20.396,4800.31,9680
16,0.07,7,0.0797561,20.4176,4782.3,9706
16,0.07,8,0.0825386,21.1299,4824.82,9549
16,0.07,9,0.0787218,20.1528,4871.72,9567
16,0.07,10,0.0810417,20.7467,4793.32,9574
16,0.08,1,0.080385,20.5786,4915.99,9579
16,0.08,2,0.0797969,20.428,4903.96,9703
16,0.08,3,0.0804766,20.602,4919.86,9548
16,0.08,4,0.0792561,20.2896,4918.81,9692
16,0.08,5,0.0802313,20.5392,4883.15,9610
16,0.08,6,0.0804349,20.5913,4916.85,9601
16,0.08,7,0.0804067,20.5841,4853.91,9583
16,0.08,8,0.0790356,20.2331,4897.57,9782
16,0.08,9,0.0787413,20.1578,4904.33,9719
16,0.08,10,0.0813715,20.8311,4923.51,9716
16,0.09,1,0.0794136,20.3299,4990.7,9697
16,0.09,2,0.0795221,20.3577,4962.91,9710
16,0.09,3,0.0791701,20.2676,4917.11,9667
16,0.09,4,0.0802014,20.5316,5037.01,9622
16,0.09,5,0.0819905,20.9896,4937.16,9605
16,0.09,6,0.0803581,20.5717,4971.05,9792
